# STOCKTAKE AUDIT REPORT - Gateway vs MAP
# Generated: 2026-03-17T01:51:28.234Z
# MAP SKUs: 503 | Cin7 Gateway SKUs: 411
# Overlap: 405 | Match Rate: 82.2%
# Exact Match: 333 | Mismatch: 72
# MAP Only: 98 | System Only: 6
# MAP Total Qty: 115588 | Cin7 Total Qty: 112691
#
SKU	STATUS	SHELVES	MAP_QTY	CIN7_QTY	DIFF	NOTES
R1040-BK-TRI	MAP_ONLY	D73(14)	14	0	-14	MAP ONLY - sem registro no Cin7
R2515-BK-CW	MAP_ONLY	C99(1), C99(12)	13	0	-13	MAP ONLY - sem registro no Cin7
76X90 GALVANISED SLEEVES	MAP_ONLY	D74(12)	12	0	-12	MAP ONLY - sem registro no Cin7
R2321-WW-15-V2	MAP_ONLY	D9(12)	12	0	-12	MAP ONLY - sem registro no Cin7
R2519-BK-CW	MAP_ONLY	C99(12)	12	0	-12	MAP ONLY - sem registro no Cin7
R1077-ADJ	MAP_ONLY	D69(10)	10	0	-10	MAP ONLY - sem registro no Cin7
R1171-WH-WW	MAP_ONLY	Misc(10)	10	0	-10	MAP ONLY - sem registro no Cin7
R3520-DIFF	MAP_ONLY	G1(10)	10	0	-10	MAP ONLY - sem registro no Cin7
R2651-WH-3M-RM	MAP_ONLY	F15(8)	8	0	-8	MAP ONLY - sem registro no Cin7
GLOBE-150	MAP_ONLY	Misc(7)	7	0	-7	MAP ONLY - sem registro no Cin7
R3111-3K	MAP_ONLY	B7(7)	7	0	-7	MAP ONLY - sem registro no Cin7
R2112-S	MAP_ONLY	D57(6)	6	0	-6	MAP ONLY - sem registro no Cin7
R1094-12-WH-SIL-CW	MAP_ONLY	D77(5)	5	0	-5	MAP ONLY - sem registro no Cin7
R3142	MAP_ONLY	C56(5)	5	0	-5	MAP ONLY - sem registro no Cin7
R3202-WW	MAP_ONLY	G1(5)	5	0	-5	MAP ONLY - sem registro no Cin7
R3540-DIFF	MAP_ONLY	G1(5)	5	0	-5	MAP ONLY - sem registro no Cin7
R3540-S-CW	MAP_ONLY	G1(5)	5	0	-5	MAP ONLY - sem registro no Cin7
R3900-BK-40W-WW-30	MAP_ONLY	D61(5)	5	0	-5	MAP ONLY - sem registro no Cin7
R6001-DL	MAP_ONLY	D53(5)	5	0	-5	MAP ONLY - sem registro no Cin7
R2352-BL-10	MAP_ONLY	D57(4)	4	0	-4	MAP ONLY - sem registro no Cin7
R3540-EM-S-DL	MAP_ONLY	G1(4)	4	0	-4	MAP ONLY - sem registro no Cin7
SMT-012-030VTHWH	MAP_ONLY	D53(4)	4	0	-4	MAP ONLY - sem registro no Cin7
R2517-BK-WW	MAP_ONLY	C99(3)	3	0	-3	MAP ONLY - sem registro no Cin7
R3250-BRACKET-USM	MAP_ONLY	C36(3)	3	0	-3	MAP ONLY - sem registro no Cin7
R6012-BK-CW	MAP_ONLY	D69(3)	3	0	-3	MAP ONLY - sem registro no Cin7
90 X 195 X 50 X 200-L-SHAPE SPIGOT-BK	MAP_ONLY	D74(2)	2	0	-2	MAP ONLY - sem registro no Cin7
90 X 195 X 50 X 200-L-SHAPE SPIGOT-WH	MAP_ONLY	D74(2)	2	0	-2	MAP ONLY - sem registro no Cin7
BC-H17-01	MAP_ONLY	F10(2)	2	0	-2	MAP ONLY - sem registro no Cin7
LIN-WPO1-040-BK	MAP_ONLY	D49(2)	2	0	-2	MAP ONLY - sem registro no Cin7
R1069-WH-CW-60	MAP_ONLY	D69(2)	2	0	-2	MAP ONLY - sem registro no Cin7
R1109-2R-WH-WW	MAP_ONLY	D69(2)	2	0	-2	MAP ONLY - sem registro no Cin7
R2322-DL-15	MAP_ONLY	D9(2)	2	0	-2	MAP ONLY - sem registro no Cin7
R3060-BRACKETS	MAP_ONLY	D74(2)	2	0	-2	MAP ONLY - sem registro no Cin7
R3111_1-10V	MAP_ONLY	B7(2)	2	0	-2	MAP ONLY - sem registro no Cin7
R3114	MAP_ONLY	D50(1), D50(1)	2	0	-2	MAP ONLY - sem registro no Cin7
R3221	MAP_ONLY	D53(1), D61(1)	2	0	-2	MAP ONLY - sem registro no Cin7
R3540-EM-CW	MAP_ONLY	G1(2)	2	0	-2	MAP ONLY - sem registro no Cin7
R6236-EYELID-BK	MAP_ONLY	D61(2)	2	0	-2	MAP ONLY - sem registro no Cin7
ST40-060	MAP_ONLY	D49(2)	2	0	-2	MAP ONLY - sem registro no Cin7
60 X 200-POLE MOUNT BRACKET	MAP_ONLY	D74(1)	1	0	-1	MAP ONLY - sem registro no Cin7
76 X 208 X 50 X 200-L-SHAPE-SPIGOT-WH	MAP_ONLY	D74(1)	1	0	-1	MAP ONLY - sem registro no Cin7
80 X 190 X 50 X 320-T-SHAPE-GRN-180	MAP_ONLY	D74(1)	1	0	-1	MAP ONLY - sem registro no Cin7
AL8OP4028-E	MAP_ONLY	Misc(1)	1	0	-1	MAP ONLY - sem registro no Cin7
LF24BK-LED	MAP_ONLY	D69(1)	1	0	-1	MAP ONLY - sem registro no Cin7
LR1004R-01	MAP_ONLY	D77(1)	1	0	-1	MAP ONLY - sem registro no Cin7
LR1023R-03-C	MAP_ONLY	D69(1)	1	0	-1	MAP ONLY - sem registro no Cin7
LR1024R-03	MAP_ONLY	D69(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R1044	MAP_ONLY	D65(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R1146-WH-GLD-60-PND	MAP_ONLY	D65(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R1158-BK-35W-CW-60	MAP_ONLY	D53(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R1171-WH-CW	MAP_ONLY	Misc(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R1204-WH-WW	MAP_ONLY	D57(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R2206-BK-CW	MAP_ONLY	D61(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R2320-DL-15	MAP_ONLY	D57(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R2517-WH-WW	MAP_ONLY	C99(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R3110	MAP_ONLY	B7(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R3205-CW	MAP_ONLY	D61(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R3220-BLK-4M	MAP_ONLY	D53(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R3240-070-BK	MAP_ONLY	D74(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R3240-090-BK	MAP_ONLY	D74(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R3240-BK-MED-PE	MAP_ONLY	D53(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R3520	MAP_ONLY	G1(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R6332-500	MAP_ONLY	D49(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R9995-V1	MAP_ONLY	D61(1)	1	0	-1	MAP ONLY - sem registro no Cin7
ST11-240	MAP_ONLY	D53(1)	1	0	-1	MAP ONLY - sem registro no Cin7
UP-DL97-3-13W-D	MAP_ONLY	D69(1)	1	0	-1	MAP ONLY - sem registro no Cin7
ZAC-8-BLK-WW	MAP_ONLY	D53(1)	1	0	-1	MAP ONLY - sem registro no Cin7
R0003-RF-V2	SYS_ONLY		0	180	180	SYSTEM ONLY - sem contagem fisica
R3141-LENS	SYS_ONLY		0	85	85	SYSTEM ONLY - sem contagem fisica
R3141-REFLECTOR	SYS_ONLY		0	69	69	SYSTEM ONLY - sem contagem fisica
R2631-BK-2M	SYS_ONLY		0	59	59	SYSTEM ONLY - sem contagem fisica
R3207-UGR19-16-3500K	SYS_ONLY		0	5	5	SYSTEM ONLY - sem contagem fisica
R1095-25	SYS_ONLY		0	3	3	SYSTEM ONLY - sem contagem fisica
24V-IP20-020W-DIM	MATCH	G-Floor(910)	910	910	0	OK
24V-IP20-030W-DIM	MATCH	G-Floor(1508), G-Floor(208)	1716	1716	0	OK
24V-IP20-060W-DIM	MATCH	F17(1044), G-Floor(234)	1278	1278	0	OK
BRONCO-6-10W-DIM	MATCH	Misc(1)	1	1	0	OK
HUB-24V-IP20-060W-MO	MATCH	G-Floor(77)	77	77	0	OK
HUB-24V-IP20-100W-MO	MATCH	G-Floor(78)	78	78	0	OK
HUB-CONNECTOR-1M	MATCH	G-Floor(270)	270	270	0	OK
HUB-CONNECTOR-3M	MATCH	G-Floor(270)	270	270	0	OK
HUB-CONNECTOR-5M	MATCH	G-Floor(300)	300	300	0	OK
HUB-MASTER-TOUCH	MATCH	G-Floor(50)	50	50	0	OK
HUB-MASTER-WAVE	MATCH	G-Floor(50)	50	50	0	OK
HUB-SENSOR-DOOR	MATCH	G-Floor(45)	45	45	0	OK
HUB-SENSOR-TOUCH	MATCH	G-Floor(35)	35	35	0	OK
HUB-SENSOR-WAVE	MATCH	G-Floor(33)	33	33	0	OK
HV3003T-BLK-240V	MATCH	D53(5)	5	5	0	OK
LD644	MATCH	Misc(27)	27	27	0	OK
R-GP2-WH-V1	MATCH	D50(1)	1	1	0	OK
R-GP6-WH	MATCH	B97(199)	199	199	0	OK
R-GPO1-15-WH-V1	MATCH	C11(262)	262	262	0	OK
R-GPO1-WH	MATCH	B97(499)	499	499	0	OK
R-GPO1-WH-V1	MATCH	A31(20), B26(100), C41(594), D50(4)	718	718	0	OK
R-GPO2-WH-V1	MATCH	A21(1921), A31(18), B11(2315), D50(101)	4355	4355	0	OK
R-GPO2X-WH-V1	MATCH	C11(255), D50(12)	267	267	0	OK
R-LD237-BLK-CW	MATCH	D69(10), D77(20)	30	30	0	OK
R-LD628-WH-45-CW-15	MATCH	D77(4)	4	4	0	OK
R-NMBL-BLK	MATCH	Misc(1)	1	1	0	OK
R-PMB	MATCH	B98(2999)	2999	2999	0	OK
R-RJ11	MATCH	A31(350)	350	350	0	OK
R-SLGP1-WH-V1	MATCH	A31(47)	47	47	0	OK
R-SLGP2-WH	MATCH	D5(1599)	1599	1599	0	OK
R-SLGP3-WH	MATCH	C72(800), D5(799)	1599	1599	0	OK
R-SLGP4-WH	MATCH	C72(1600), D5(599)	2199	2199	0	OK
R-SLGP5-WH	MATCH	D1(399)	399	399	0	OK
R-SLGP6-WH	MATCH	C37(399)	399	399	0	OK
R-SLGPO1-WH-V1	MATCH	A31(700), D50(8)	708	708	0	OK
R-SLGPO2-WH-V1	MATCH	D50(10)	10	10	0	OK
R-SLGPO2X-WH-V1	MATCH	D50(4)	4	4	0	OK
R-SLSW1-WH	MATCH	B97(500)	500	500	0	OK
R-SLSW1-WH-V1	MATCH	A31(25), D50(7)	32	32	0	OK
R-SLSW2-WH-V1	MATCH	D50(11)	11	11	0	OK
R-SLSW3-WH	MATCH	C37(999)	999	999	0	OK
R-SLSW4-WH	MATCH	D1(599)	599	599	0	OK
R-SM16-V1	MATCH	A31(679)	679	679	0	OK
R-SW1-WH-V1	MATCH	C11(1040), C16(2739), D50(6)	3785	3785	0	OK
R-SW2-WH-V1	MATCH	D33(1699), D33(1684), D50(3)	3386	3386	0	OK
R-SW4-WH-V1	MATCH	B26(1000)	1000	1000	0	OK
R-SW5-WH-V1	MATCH	B26(327), C41(310)	637	637	0	OK
R-SW6-WH-V1	MATCH	B26(300), C41(230)	530	530	0	OK
R0001-RF-V2	MATCH	C43(32)	32	32	0	OK
R0002-RF-V2	MATCH	C43(338)	338	338	0	OK
R0003	MATCH	A25(720), A27(720), A28(720), A45(815)	2975	2975	0	OK
R1023	MATCH	G-Floor(209)	209	209	0	OK
R1041-BK-TRI	MATCH	Misc(8)	8	8	0	OK
R1041-SC-TRI	MATCH	Misc(36)	36	36	0	OK
R1041-WH-CW	MATCH	Misc(63)	63	63	0	OK
R1041-WH-WW	MATCH	Misc(8)	8	8	0	OK
R1044/18W	MATCH	D77(10)	10	10	0	OK
R1053-WH-TRI	MATCH	C69(960)	960	960	0	OK
R1055-WH-TRI	MATCH	C17(960), C65(960)	1920	1920	0	OK
R1056	MATCH	D77(18), Misc(19)	37	37	0	OK
R1060-WH-TRI	MATCH	C90(864)	864	864	0	OK
R1061-A-WH-TRI	MATCH	A51(270)	270	270	0	OK
R1063	MATCH	Misc(2)	2	2	0	OK
R1071-A-WH-CW-60	MATCH	D58(107)	107	107	0	OK
R1071-WH-WW-60	MATCH	C7(576), C9(576)	1152	1152	0	OK
R1073-BK	MATCH	C66(96)	96	96	0	OK
R1073-WH	MATCH	C80(192)	192	192	0	OK
R1074-BK	MATCH	D26(95)	95	95	0	OK
R1075-BK	MATCH	D26(144)	144	144	0	OK
R1075-WH-WW-60	MATCH	B36(179)	179	179	0	OK
R1076-BK	MATCH	B36(216), C80(180)	396	396	0	OK
R1076-WH	MATCH	C22(108)	108	108	0	OK
R1076-WH-CW-60	MATCH	B65(503)	503	503	0	OK
R1077-BK	MATCH	C80(192)	192	192	0	OK
R1077-WH	MATCH	C80(192)	192	192	0	OK
R107M-12W-CW-60-S	MATCH	C26(95)	95	95	0	OK
R107M-15W-CW-60	MATCH	C66(191)	191	191	0	OK
R107M-15W-XW-24	MATCH	C66(96)	96	96	0	OK
R107M-CW-60-S	MATCH	D34(95)	95	95	0	OK
R1081-WH-CW-V2	MATCH	C21(288)	288	288	0	OK
R1083-45W-4K	MATCH	D73(8)	8	8	0	OK
R1083-BK-CW	MATCH	Misc(4)	4	4	0	OK
R1083-BK-WW	MATCH	D50(24)	24	24	0	OK
R1085-WH-CW-60	MATCH	B49(792)	792	792	0	OK
R1093-25-BK-SIL-TRI	MATCH	B72(84)	84	84	0	OK
R1093-25-BK-SIL-WW	MATCH	Misc(26)	26	26	0	OK
R1094-35-BK-SIL-WW	MATCH	D23(120)	120	120	0	OK
R1094-35-WH-SIL-WW	MATCH	Misc(5)	5	5	0	OK
R1109-WH-WW	MATCH	Misc(1)	1	1	0	OK
R1140-BK-BK-60-SM	MATCH	A51(143), B86(143), B91(191)	477	477	0	OK
R1140-WH-SA	MATCH	C51(287)	287	287	0	OK
R1140-WH-WH-60-SM	MATCH	B41(167)	167	167	0	OK
R1141-BK-BK-60-SM	MATCH	A36(155), A61(83)	238	238	0	OK
R1141-BK-PND	MATCH	B62(95)	95	95	0	OK
R1141-BK-TK	MATCH	A16(95)	95	95	0	OK
R1141-WH-PND	MATCH	C34(215)	215	215	0	OK
R1141-WH-WH-60-SM	MATCH	A36(215), A79(480), B66(239)	934	934	0	OK
R1146-BK-BK-60-SM	MATCH	A17(71)	71	71	0	OK
R1146-WH-WH-60-SM	MATCH	B96(479), C26(191), C36(191)	861	861	0	OK
R1150-BK-CW	MATCH	D58(71)	71	71	0	OK
R1150-WH-WW	MATCH	B36(215), D64(485)	700	700	0	OK
R1160-BK	MATCH	A101(264)	264	264	0	OK
R1160-WH-V2	MATCH	A11(167), C4(216), C8(191)	574	574	0	OK
R1161-WH	MATCH	C49(96), C52(96)	192	192	0	OK
R1165-BK-WW	MATCH	C2(107)	107	107	0	OK
R1165-WH-WW	MATCH	A26(215), C2(216)	431	431	0	OK
R1166-BK-CW	MATCH	A26(53)	53	53	0	OK
R1170-WH-CW	MATCH	B21(89)	89	89	0	OK
R1201-SC-CW	MATCH	D57(4)	4	4	0	OK
R1208-BK-WW	MATCH	B46(64)	64	64	0	OK
R1301-DL	MATCH	D64(63)	63	63	0	OK
R1306-BK-CW	MATCH	A19(167)	167	167	0	OK
R1306-BK-WW-V2	MATCH	C29(59)	59	59	0	OK
R1308-CW	MATCH	A43(47)	47	47	0	OK
R1308-WW	MATCH	D26(59)	59	59	0	OK
R1309-WH-WW	MATCH	B91(239)	239	239	0	OK
R1311-WH	MATCH	C29(71)	71	71	0	OK
R131M-24W-CW-60	MATCH	B46(35)	35	35	0	OK
R131M-24W-WW-60	MATCH	B38(72)	72	72	0	OK
R1342-A-WH	MATCH	C46(107)	107	107	0	OK
R1343-WH	MATCH	C46(47)	47	47	0	OK
R134M-10W-CW-40	MATCH	C46(95)	95	95	0	OK
R134M-10W-FRAME-BK	MATCH	C80(100)	100	100	0	OK
R1352-18-WH-CW	MATCH	B39(191)	191	191	0	OK
R1352-18-WH-WW	MATCH	C2(95)	95	95	0	OK
R1353-25-WH-WW	MATCH	B72(95)	95	95	0	OK
R1354-30-WH-WW	MATCH	C81(95)	95	95	0	OK
R1355-40-WH-CW	MATCH	A54(60)	60	60	0	OK
R1355-40-WH-WW	MATCH	C1(24), D18(96)	120	120	0	OK
R2101-BK-WW	MATCH	A13(70)	70	70	0	OK
R2115-EM	MATCH	Misc(1)	1	1	0	OK
R2120 TRIM BLACK	MATCH	B61(60)	60	60	0	OK
R2125-DIFFUSER-DEEP	MATCH	C77(130)	130	130	0	OK
R2125-DIFFUSER-SLIM	MATCH	A57(150)	150	150	0	OK
R2126-DIFFUSER-DEEP	MATCH	C35(80), C40(80), D35(100), D60(100)	360	360	0	OK
R2132-WH-TRI	MATCH	C12(128), C19(128), C57(128), C63(128)	512	512	0	OK
R2160-WH-WW	MATCH	B51(200)	200	200	0	OK
R2201-BK-WW	MATCH	A86(69)	69	69	0	OK
R2202-BK-CW	MATCH	F9(120), F14(120)	240	240	0	OK
R2207-BK-WW-V1	MATCH	F1(7)	7	7	0	OK
R2207-WH-CW	MATCH	F13(79)	79	79	0	OK
R2207-WH-WW-V1	MATCH	F1(21)	21	21	0	OK
R2210	MATCH	A35(500)	500	500	0	OK
R2211-BK	MATCH	C79(40)	40	40	0	OK
R2211-WH	MATCH	C79(40)	40	40	0	OK
R2212-BK	MATCH	C79(200)	200	200	0	OK
R2213-BK	MATCH	C79(20)	20	20	0	OK
R2214	MATCH	B46(320)	320	320	0	OK
R2215-WH	MATCH	A35(200), C66(100)	300	300	0	OK
R2216	MATCH	A35(640)	640	640	0	OK
R2218-BK	MATCH	A35(100)	100	100	0	OK
R2371-AL	MATCH	F1(9)	9	9	0	OK
R2372-WH-PR-2.5	MATCH	F1(48), F6(144), F16(128)	320	320	0	OK
R2373-BK-PR-2.5	MATCH	F5(59)	59	59	0	OK
R2373-WH-PR-2.5	MATCH	F20(45)	45	45	0	OK
R2379-2M	MATCH	F7(800)	800	800	0	OK
R2380-AL-2M	MATCH	F4(300)	300	300	0	OK
R2381-2M	MATCH	F1(8)	8	8	0	OK
R2381-AL-2M	MATCH	F8(400)	400	400	0	OK
R2382-AL-2M	MATCH	F4(700)	700	700	0	OK
R2382-AL-2M-V1	MATCH	F1(18)	18	18	0	OK
R2382-WH-2M	MATCH	F4(100)	100	100	0	OK
R2384-AL-2M	MATCH	F2(1200), F3(999), F8(400)	2599	2599	0	OK
R2384-AL-2M-V1	MATCH	F1(4)	4	4	0	OK
R2385-AL-3M	MATCH	FLOOR(60)	60	60	0	OK
R2385-BK-3M	MATCH	FLOOR(45)	45	45	0	OK
R2385-WH-3M	MATCH	E-Floor(25)	25	25	0	OK
R2386-WH-3M	MATCH	E-Floor(12)	12	12	0	OK
R2396-AL-2M	MATCH	F7(165)	165	165	0	OK
R2397	MATCH	F1(300)	300	300	0	OK
R2498_9-SUS	MATCH	E-FLOOR(12)	12	12	0	OK
R2498-400-40W-BK-WW	MATCH	D57(1)	1	1	0	OK
R2498-PND-1000-100W-BK-WW	MATCH	E-FLOOR(3)	3	3	0	OK
R2515-BK-WW	MATCH	C99(4)	4	4	0	OK
R2515-WH-WW	MATCH	C99(13), D54(5)	18	18	0	OK
R2587-BK-PRO	MATCH	C3(102)	102	102	0	OK
R2595-BK-WW	MATCH	C22(108)	108	108	0	OK
R2599-WH-CW-24	MATCH	Misc(3)	3	3	0	OK
R2601-BK-2M	MATCH	F7(80)	80	80	0	OK
R2601-BK-3M	MATCH	F15(40)	40	40	0	OK
R2631-BK-3M	MATCH	F15(152)	152	152	0	OK
R2651-BK-3M-RM	MATCH	F15(36)	36	36	0	OK
R2651-WH-3M-SM	MATCH	F15(24)	24	24	0	OK
R2779-WH-WW-36	MATCH	D61(12)	12	12	0	OK
R3040-050	MATCH	D61(2)	2	2	0	OK
R3040-100	MATCH	D50(1)	1	1	0	OK
R3040-200	MATCH	D61(2)	2	2	0	OK
R3043	MATCH	A4(100), B76(39)	139	139	0	OK
R3056	MATCH	D6(48)	48	48	0	OK
R3077-400	MATCH	A40(29), B45(29)	58	58	0	OK
R3077-600	MATCH	A87(13), B57(16)	29	29	0	OK
R3115	MATCH	C56(5)	5	5	0	OK
R3116	MATCH	C56(4)	4	4	0	OK
R3116-200-CW-DALI	MATCH	G-Floor(13)	13	13	0	OK
R3117-REFLECTOR-AL	MATCH	D37(49)	49	49	0	OK
R3118-REFLECTOR-AL	MATCH	D37(49)	49	49	0	OK
R3118-REFLECTOR-PC	MATCH	A85(40), A100(40), A105(40), A110(40)	160	160	0	OK
R3126-240-DL	MATCH	D61(4)	4	4	0	OK
R3140	MATCH	C36(168)	168	168	0	OK
R3201-CW	MATCH	C21(5)	5	5	0	OK
R3205-CW-FF	MATCH	D76(42)	42	42	0	OK
R3205-UGR19-25-CW-COI	MATCH	C30(95)	95	95	0	OK
R3206-CW-V2	MATCH	D49(2)	2	2	0	OK
R3206-DL	MATCH	B18(90), B55(89)	179	179	0	OK
R3206-TRI	MATCH	G-Floor(90), G-Floor(90), G-Floor(90), G-Floor(90), C-Floor(90), C-Floor(90), C-Floor(90), C-Floor(90), C-Floor(90)	810	810	0	OK
R3206-TRI-V2	MATCH	D50(6)	6	6	0	OK
R3206-UGR19-25-CW	MATCH	A2(72), A5(72), A9(72), A72(72), B25(72), C15(72), C27(72), C28(72), G-Floor(72), G-Floor(72), G-Floor(72), G-Floor(72), G-Floor(72), G-Floor(72), G-Floor(72), G-Floor(72), G-Floor(71)	1223	1223	0	OK
R3206-UGR19-30-3500K	MATCH	D50(2)	2	2	0	OK
R3206-UGR19-30-CW	MATCH	A7(72), A68(72), A69(72), B74(72), B99(72), C5(72), D4(72), G-Floor(72), G-Floor(72), G-Floor(72)	720	720	0	OK
R3207-TRI-RM	MATCH	A78(72)	72	72	0	OK
R3207-TRI-SM	MATCH	C54(36)	36	36	0	OK
R3207-UGR19-16-CW	MATCH	C75(74)	74	74	0	OK
R3212	MATCH	D2(30), C-Floor(30), C-Floor(30)	90	90	0	OK
R3213	MATCH	G-Floor(60)	60	60	0	OK
R3221-WH-7M CABLE	MATCH	Misc(2)	2	2	0	OK
R3225-40-BK-CW	MATCH	C51(2)	2	2	0	OK
R3226-20-BK-DL	MATCH	C20(40)	40	40	0	OK
R3226-40-BK-DL	MATCH	D17(40)	40	40	0	OK
R3230-040	MATCH	C59(16), D40(16)	32	32	0	OK
R3240-050-BK-PE	MATCH	C56(3)	3	3	0	OK
R3240-050W-SIL-WW-R09603	MATCH	D74(1)	1	1	0	OK
R3240-120-SL	MATCH	D74(1)	1	1	0	OK
R3240-BK-MED-60	MATCH	B64(30)	30	30	0	OK
R3241-BK-070-60	MATCH	B22(48), B27(48), B33(48), D21(28)	172	172	0	OK
R3241-BK-120-60	MATCH	B93(49)	49	49	0	OK
R3250-180-BK-CW_R10503	MATCH	A29(14), A50(16), A98(16), B59(13)	59	59	0	OK
R3250-180-BK-DL_R10503	MATCH	C56(3)	3	3	0	OK
R3250-300-BK-DL_R10503	MATCH	C56(2)	2	2	0	OK
R3250-450-BK-CW_R10503	MATCH	A22(4), A32(5), A33(5), A66(4), A71(5), C39(5)	28	28	0	OK
R3262-SL-60	MATCH	C36(6)	6	6	0	OK
R3302-020-CW	MATCH	B76(28)	28	28	0	OK
R3520-EM	MATCH	G1(5)	5	5	0	OK
R3540-EM-TRI	MATCH	B84(96), B88(96), D8(96), D16(96), F17(96), G-Floor(96), G-Floor(96)	672	672	0	OK
R3540-TRI	MATCH	A1(96), A47(96), A52(96), B44(96), C47(96), C61(96), C73(96), C76(96), D14(96), D25(96), D75(96), G-Floor(96)	1152	1152	0	OK
R3541-TRI	MATCH	A77(198), B89(126)	324	324	0	OK
R3542-TRI	MATCH	A63(108), A64(108), A65(108), A70(108), A73(108), A74(108), A76(108), A84(108), A92(108), A93(108), A94(108), A97(108), A102(108), A103(108), B67(108), B79(108)	1728	1728	0	OK
