5DC	Shelf	Pallet #	SKU	UNIT QTY
31042	B91	660	R1140-BK-BK-60-SM	191
30096			R1309-WH-WW	239
52026	B92	626	R3250-240-BK-CW_R10503	16
34704	B93	51	R3241-BK-120-60	49
30072	B94	888	R6130-S	40
30419			R6150	54
0	B95		Carton - R1021	320
31300	B96	507	R1146-WH-WH-60-SM	479
30313	B97	884	R6052-WH-TRI	230
31947			R-GP6-WH	199
32008			R-GPO1-WH	499
32950			R-SLSW1-WH	500
30573	B98	886	R6051-BK-TRI	150
31467			R-PMB	2999
30451	B99	47	R3206-UGR19-30-CW	72
0	B100		Carton - R1021	320
46400	C1	257	R1355-40-WH-WW	24
31909			R2582-WH-WW-60-DALI	59
45620	C2	616	R1352-18-WH-WW	95
47383			R1165-BK-WW	107
47516			R1165-WH-WW	216
15530	C3		R2587-BK-PRO	102
17113	C4	146	R1160-WH-V2	216
30451	C5	45	R3206-UGR19-30-CW	72
15373	C6		R9990-S-WH	80
15434			R9990-S-BK	80
30874			R6070-WH-CW	48
0				
30789	C7	923	R1071-WH-WW-60	576
17113	C8	172	R1160-WH-V2	191
30789	C9	925	R1071-WH-WW-60	576
30485	C10	737	R2601-WH-1M	49
30555			R6002-SM-KIT	30
31279	C11	292/301	R-SW1-WH-V1	1040
31453			R-GPO2-15-WH-V1	219
31377			R-GPO1-15-WH-V1	262
31399			R-GPO1X-WH-V1	100
31470			R-GPO2X-WH-V1	255
31555	C12	805	R2132-WH-TRI	128
30775	C13	998	R3540-EM-S-TRI	96
10086	C14	652	R3206-UGR19-25-DL	72
30240	C15	32	R3206-UGR19-25-CW	72
31279	C16	297	r-sw1-wh-v1	2739
29833	C17	971	R1055-WH-TRI	960
10086	C18	655	R3206-UGR19-25-DL	72
31555	C19	803	R2132-WH-TRI	128
30092	C20	51	R3226-20-bk-dl	40
17157	C21	C21	R1081-WH-CW-v2	288
76877			R3201-CW	5
30712	C22	930	R1076-WH	108
30685			r1151-wh-cw	95
30683			R2595-BK-WW	108
0	C23			
31376	c24	801	R3590	240
29965	C25	50	R3240-BK-LRG-60	24
31300	C26	589	R1146-WH-WH-60-SM	191
30230			R1170-WH-WW	60
82095			R107M-12W-CW-60-S	95
30240	C27	23	R3206-UGR19-25-CW	72
30240	C28	18	R3206-UGR19-25-CW	72
17040	C29	921	R1306-BK-WW-V2	59
30279			R1311-WH	71
31092	C30	901	R3205-UGR19-25-CW-COI	95
30282	C31	C31	R6085-WH-WW	23
30751			R6085-WH-CW	72
31280	C32	708	R6232-BK-TRI	90
16831	C33		R3243-020-CW	11
30068	C34	827	R1091-10-WH-SIL-TRI	107
31025			R1141-WH-PND	215
30044	C35	96	R2126-DIFFUSER-DEEP	80
0	C36	223	R3110-ADJ-BRACKET	20
29725			R3250-BRACKET-USM	3
30152			R3140	168
