5DC	Shelf	Pallet #	SKU	UNIT QTY
29695	FLOOR		R2385-BK-3M	45
31301			R2385-AL-3M	60
30240	G-Floor	31	R3206-UGR19-25-CW	72
30240	G-Floor	33	R3206-UGR19-25-CW	72
30240	G-Floor	34	R3206-UGR19-25-CW	72
30240	G-Floor	35	R3206-UGR19-25-CW	72
30240	G-Floor	36	R3206-UGR19-25-CW	72
30240	G-Floor	37	R3206-UGR19-25-CW	72
30240	G-Floor	39	R3206-UGR19-25-CW	72
30240	G-Floor	40	R3206-UGR19-25-CW	72
30240	G-Floor	41	R3206-UGR19-25-CW	71
30451	G-Floor	42	R3206-UGR19-30-CW	72
30451	G-Floor	44	R3206-UGR19-30-CW	72
30451	G-Floor	46	R3206-UGR19-30-CW	72
10086	G-Floor	65	R3206-UGR19-25-DL	96
30676	G-Floor	70	R3213	60
30437	G-Floor	71	R1023	209
30852	G-Floor	71	R1022	300
59008	G-Floor	74	R3206-TRI	90
59008	G-Floor	75	R3206-TRI	90
59008	G-Floor	77	R3206-TRI	90
59008	G-Floor	79	R3206-TRI	90
31398	G-Floor	82	R6007-BK-WW	499
30515	C-Floor	67	R3212	30
30515	C-Floor	68	R3212	30
30345	C-Floor	72	R1024	220
59008	C-Floor	73	R3206-TRI	90
59008	C-Floor	76	R3206-TRI	90
59008	C-Floor	78	R3206-TRI	90
59008	C-Floor	80	R3206-TRI	90
59008	C-Floor	81	R3206-TRI	90
30509	G-FLOOR	61	R6334-25W-CW	19
30653			R6335-1000	13
30337	G-Floor	89	24V-IP20-030W-DIM	1508
13264	G-Floor	52	R4101-WH-WW	40
13477			R4101-WH-CW	4
16910	G-Floor	87	hub-24V-IP20-100W-MO	78
16890			HUB-24V-IP20-060W-MO	77
16926			HUB-CONNECTOR-1M	270
16945			HUB-CONNECTOR-3M	270
16959			HUB-CONNECTOR-5M	300
16988			HUB-MASTER-TOUCH	50
17063			HUB-MASTER-WAVE	50
16974			HUB-SENSOR-DOOR	45
17012			HUB-SENSOR-TOUCH	35
17102			HUB-SENSOR-WAVE	33
34975			R3116-200-CW-DALI	13
30010			R6333	18
31037	G-Floor	982	R3540-EM-TRI	96
29904	G-Floor	993	R3540-TRI	96
31037	G-Floor	983	R3540-EM-TRI	96
30047	G-Floor	95	24V-IP20-060W-DIM	234
30337			24V-IP20-030W-DIM	208
30324			24V-IP20-020W-DIM	910
0	e-floor	88	sample box	200
0			SAMPLE BOX FANS	340
0			SAMPLE BOXES FULL	19
31994	E-FLOOR		R2499-400-40W-BK-WW	11
0			R2498_9-SUS	12
31893			R2498-PND-1000-100W-BK-WW	3
